Ahmad Jamal                     ahmad-jamal-mn0000127369
Al Foster                       al-foster-mn0000604137
Al Haig                         al-haig-mn0000604469
Art Blakey                      art-blakey-mn0000928942
Art Farmer                      art-farmer-mn0000502199
Art Pepper                      art-pepper-mn0000505047
Art Tatum                       art-tatum-mn0000505770
Art Taylor                      art-taylor-mn0000505154
Barbey Kessel                   barney-kessel-mn0000784527
Benny Golson                    benny-golson-mn0000135391
Ben Webster                     ben-webster-mn0000793227
Bill Evans                      bill-evans-mn0000764702
Billy Eckstine                  billy-eckstine-mn0000082584
Billy Higgins                   billy-higgins-mn0000070507
Blue Mitchell                   blue-mitchell-mn0000761064
Bob Cranshaw                    bob-cranshaw-mn0000065862
Bobby Hutcherson                bobby-hutcherson-mn0000081231
Bobby Timmons                   bobby-timmons-mn0000765435
Booker Ervin                    booker-ervin-mn0000097426
Brad Mehldau                    brad-mehldau-mn0000934305
Bud Powell                      bud-powell-mn0000640675
Cannonball Adderley             cannonball-adderley-mn0000548338
Cecil McBee                     cecil-mcbee-mn0000739015
Cedar Walton                    cedar-walton-mn0000741325
Charles Lloyd                   charles-lloyd-mn0000206538
Charles Mingus                  charles-mingus-mn0000009680
Charlie Haden                   charlie-haden-mn0000211483
Charlie Parker                  charlie-parker-mn0000211758
Charlie Rouse                   charlie-rouse-mn0000176387
Chet Baker                      chet-baker-mn0000094210
Chick Corea                     chick-corea-mn0000110541
Clark Terry                     clark-terry-mn0000133832
Clifford Brown                  clifford-brown-mn0000789775
Coleman Hawkins                 coleman-hawkins-mn0000776363
Connie Kay                      connie-kay-mn0000116605
Curtis Fuller                   curtis-fuller-mn0000139566
Dave Brubeck                    dave-brubeck-mn0000958533
Dave Holland                    dave-holland-mn0000585092
Dexter Gordon                   dexter-gordon-mn0000208404
Dizzy Gillespie                 dizzy-gillespie-mn0000162677
Don Byas                        don-byas-mn0000172350
Donald Byrd                     donald-byrd-mn0000149946
Doug Watkins                    doug-watkins-mn0000199677
Duke Ellington                  duke-ellington-mn0000120323
Duke Jordan                     duke-jordan-mn0000147245
Eddie Gomez                     eddie-gomez-mn0000794244
Elvin Jones                     elvin-jones-mn0000179379
Eric Dolphy                     eric-dolphy-mn0000800100
Freddie Hubbard                 freddie-hubbard-mn0000798326
Gary Peacock                    gary-peacock-mn0000153503
Gene Ammons                     gene-ammons-mn0000160198
George Duvivier                 george-duvivier-mn0000642920
Gerry Mulligan                  gerry-mulligan-mn0000542549
Gil Evans                       gil-evans-mn0000551815
Grant Green                     grant-green-mn0000738855
Hampton Hawes                   hampton-hawes-mn0000558596
Hank Jones                      hank-jones-mn0000558339
Hank Mobley                     hank-mobley-mn0000951384
Herbie Hancock                  herbie-hancock-mn0000957296
Horace Silver                   horace-silver-mn0000267354
J.J. Johnson                    jj-johnson-mn0000119111
Jack DeJohnette                 jack-dejohnette-mn0000104388
Jackie McLean                   jackie-mclean-mn0000127949
Jerome Richardson               jerome-richardson-mn0000273205
Jim Hall                        jim-hall-mn0000286483
Jimmy Blanton                   jimmy-blanton-mn0000349181
Jimmy Cleveland                 jimmy-cleveland-mn0000353065
Jimmy Cobb                      jimmy-cobb-mn0000350892
Jimmy Garrison                  jimmy-garrison-mn0000853359
Jimmy Smith                     jimmy-smith-mn0000781172
Joe Henderson                   joe-henderson-mn0000139804
Joe Pass                        joe-pass-mn0000209773
Joe Zawinul                     joe-zawinul-mn0000176859
John Coltrane                   john-coltrane-mn0000175553
John Lewis                      john-lewis-mn0000424292
John McLaughlin                 john-mclaughlin-mn0000223701
John Scofield                   john-scofield-mn0000677991
Johnny Griffin                  johnny-griffin-mn0000213510
Jymie Merritt                   jymie-merritt-mn0000308664
Keith Jarrett                   keith-jarrett-mn0000066570
Kenny Barron                    kenny-barron-mn0000081181
Kenny Burrell                   kenny-burrell-mn0000068780
Kenny Clarke                    kenny-clarke-mn0000081796
Kenny Dorham                    kenny-dorham-mn0000768027
Kenny Drew                      kenny-drew-mn0000081841
Lee Konitz                      lee-konitz-mn0000227776
Lee Morgan                      lee-morgan-mn0000226380
Lennie Tristano                 lennie-tristano-mn0000242966
Lester Young                    lester-young-mn0000259529
Lionel Hampton                  lionel-hampton-mn0000833150
Louis Armstrong                 louis-armstrong-mn0000234518
Louis Hayes                     louis-hayes-mn0000237496
Mal Waldron                     mal-waldron-mn0000665824
Max Roach                       max-roach-mn0000396372
McCoy Tyner                     mccoy-tyner-mn0000868092
Miles Davis                     miles-davis-mn0000423829
Milt Jackson                    milt-jackson-mn0000489845
Miroslav Vitous                 miroslav-vitous-mn0000499683
Nat King Cole                   nat-king-cole-mn0000317093
Niels-Henning Orsted Pedersen   niels-henning-%C3rsted-pedersen-mn0000404907
Ornette Coleman                 ornette-coleman-mn0000484396
Oscar Peterson                  oscar-peterson-mn0000489316
Oscar Pettiford                 oscar-pettiford-mn0000896298
Pat Metheny                     pat-metheny-mn0000179698
Paul Chambers                   paul-chambers-mn0000747984
Paul Desmond                    paul-desmond-mn0000069348
Paul Motian                     paul-motian-mn0000018137
Pepper Adams                    pepper-adams-mn0000255377
Percy Heath                     percy-heath-mn0000256575
Pharoah Sanders                 pharoah-sanders-mn0000330601
Phil Woods                      phil-woods-mn0000848572
Philly Joe Jones                philly-joe-jones-mn0000845443
